poi,month,year,userdays,daysinmonth
Apache-Sitgreaves National Forests,1,2018,2771396.717091072,31
Apache-Sitgreaves National Forests,1,2019,2710057.163866752,31
Apache-Sitgreaves National Forests,2,2018,2010752.6339955118,28
Apache-Sitgreaves National Forests,2,2019,2215721.55846456,28
Apache-Sitgreaves National Forests,3,2018,3595032.982629432,31
Apache-Sitgreaves National Forests,3,2019,2554985.262448368,31
Apache-Sitgreaves National Forests,4,2018,2548718.709207168,30
Apache-Sitgreaves National Forests,4,2019,2534010.337209408,30
Apache-Sitgreaves National Forests,5,2018,3258666.213852576,31
Apache-Sitgreaves National Forests,5,2019,3172464.941594544,31
Apache-Sitgreaves National Forests,6,2018,4158052.248737472,30
Apache-Sitgreaves National Forests,6,2019,3715413.50827584,30
Apache-Sitgreaves National Forests,7,2018,4655067.994259615,31
Apache-Sitgreaves National Forests,7,2019,3396279.205070688,31
Apache-Sitgreaves National Forests,8,2018,3643147.061621952,31
Apache-Sitgreaves National Forests,8,2019,3513660.5463469676,31
Apache-Sitgreaves National Forests,9,2018,2936323.259163048,30
Apache-Sitgreaves National Forests,9,2019,3418032.967922856,30
Apache-Sitgreaves National Forests,10,2017,2087149.705063392,31
Apache-Sitgreaves National Forests,10,2018,2870050.332379728,31
Apache-Sitgreaves National Forests,10,2022,12297144.697894631,31
Apache-Sitgreaves National Forests,11,2017,1706027.6601907199,30
Apache-Sitgreaves National Forests,11,2018,2357999.7030462,30
Apache-Sitgreaves National Forests,11,2022,3643583.9412616557,30
Apache-Sitgreaves National Forests,12,2017,1815000.032376912,31
Apache-Sitgreaves National Forests,12,2018,3020484.9260335197,31
Apache-Sitgreaves National Forests,12,2022,5345093.220068496,31
Bighorn National Forest,1,2018,28717.82211312,18
Bighorn National Forest,1,2019,16816.7043684,28
Bighorn National Forest,2,2018,31249.142075976,27
Bighorn National Forest,2,2019,21578.316293376,28
Bighorn National Forest,3,2018,35167.810078872004,26
Bighorn National Forest,3,2019,23682.036087911998,31
Bighorn National Forest,4,2018,20713.955333064,28
Bighorn National Forest,4,2019,14691.887857488,27
Bighorn National Forest,5,2018,35842.20999612,29
Bighorn National Forest,5,2019,17612.49422316,31
Bighorn National Forest,6,2018,108695.011635672,30
Bighorn National Forest,6,2019,76440.446035104,30
Bighorn National Forest,7,2018,170571.757100208,31
Bighorn National Forest,7,2019,92815.46927488799,31
Bighorn National Forest,8,2018,112623.222375504,31
Bighorn National Forest,8,2019,84693.19128748799,31
Bighorn National Forest,9,2018,70373.6585778,30
Bighorn National Forest,9,2019,62405.305680959995,29
Bighorn National Forest,10,2017,27121.275828912,31
Bighorn National Forest,10,2018,56155.821566448,31
Bighorn National Forest,10,2022,65815.551061872,31
Bighorn National Forest,11,2017,10135.52617752,24
Bighorn National Forest,11,2018,16042.143195552,29
Bighorn National Forest,11,2022,13254.266452224,30
Bighorn National Forest,12,2017,8573.130481464,29
Bighorn National Forest,12,2018,26290.028423664,31
Bighorn National Forest,12,2022,20165.604927888,31
Bridger-Teton National Forest,1,2018,1438155.836591664,31
Bridger-Teton National Forest,1,2019,936619.2609402,31
Bridger-Teton National Forest,2,2018,1152517.47451824,28
Bridger-Teton National Forest,2,2019,727438.886399088,28
Bridger-Teton National Forest,3,2018,1175561.3079054,31
Bridger-Teton National Forest,3,2019,689334.970351992,31
Bridger-Teton National Forest,4,2018,410907.238053624,30
Bridger-Teton National Forest,4,2019,255924.734147016,30
Bridger-Teton National Forest,5,2018,687871.88958108,31
Bridger-Teton National Forest,5,2019,420662.724231864,31
Bridger-Teton National Forest,6,2018,1331936.129539104,30
Bridger-Teton National Forest,6,2019,848047.6801181519,30
Bridger-Teton National Forest,7,2018,1454458.994401896,31
Bridger-Teton National Forest,7,2019,859229.055967488,31
Bridger-Teton National Forest,8,2018,1114313.567925672,31
Bridger-Teton National Forest,8,2019,871221.995193672,31
Bridger-Teton National Forest,9,2018,709399.2928439759,30
Bridger-Teton National Forest,9,2019,750533.5936374239,30
Bridger-Teton National Forest,10,2017,262631.556939,31
Bridger-Teton National Forest,10,2018,436293.128996568,31
Bridger-Teton National Forest,10,2022,1081542.19871064,31
Bridger-Teton National Forest,11,2017,174517.150300536,30
Bridger-Teton National Forest,11,2018,357982.263108864,30
Bridger-Teton National Forest,11,2022,272834.423822856,30
Bridger-Teton National Forest,12,2017,413957.55690672,31
Bridger-Teton National Forest,12,2018,758624.257739784,31
Bridger-Teton National Forest,12,2022,677476.010406384,31
Carson National Forest,1,2018,954779.202092568,31
Carson National Forest,1,2019,822472.55047764,31
Carson National Forest,2,2018,718176.688889712,28
Carson National Forest,2,2019,657235.63894248,28
Carson National Forest,3,2018,930474.049081872,31
Carson National Forest,3,2019,721245.023367792,31
Carson National Forest,4,2018,399632.489452344,30
Carson National Forest,4,2019,342803.656285848,30
Carson National Forest,5,2018,569724.388594128,31
Carson National Forest,5,2019,509945.859051072,31
Carson National Forest,6,2018,898639.100319504,30
Carson National Forest,6,2019,665625.309783456,30
Carson National Forest,7,2018,1241978.183972904,31
Carson National Forest,7,2019,686050.73252424,31
Carson National Forest,8,2018,877948.020786456,31
Carson National Forest,8,2019,580913.295375744,31
Carson National Forest,9,2018,606367.60743444,30
Carson National Forest,9,2019,455590.775842704,30
Carson National Forest,10,2017,380260.713952704,31
Carson National Forest,10,2018,477366.483457896,31
Carson National Forest,10,2022,1866993.0401592718,31
Carson National Forest,11,2017,250545.595279272,30
Carson National Forest,11,2018,415471.961084736,30
Carson National Forest,11,2022,502756.828982496,30
Carson National Forest,12,2017,541000.998294648,31
Carson National Forest,12,2018,834863.932187784,31
Carson National Forest,12,2022,882755.3890239119,31
Chugach National Forest,1,2018,602773.498183272,31
Chugach National Forest,1,2019,357732.822399576,31
Chugach National Forest,2,2018,632397.362107368,28
Chugach National Forest,2,2019,248371.287745968,28
Chugach National Forest,3,2018,1049309.073495312,31
