poi,month,year,userdays,daysinmonth
1,1,2018,17889661.571065,31
2,1,2018,665068.701656,31
3,1,2018,5219009.596527,31
4,1,2018,148511.528522,31
5,1,2018,1523122.789616,31
6,1,2018,268961.687652,31
7,1,2018,1770044.389982,31
8,1,2018,2248073.192639,31
9,1,2018,146828.960275,31
10,1,2018,82771.458039,31
11,1,2018,19926.685592,28
12,1,2018,682163.65475,31
13,1,2018,91483.188952,31
14,1,2018,179386.932552,31
15,1,2018,71259.66118,31
16,1,2018,146384.971366,31
17,1,2018,133249.890467,31
18,1,2018,317654.29445,31
19,1,2018,157299.402891,31
20,1,2018,1112198.691152,31
21,1,2018,20346.255799,28
22,1,2018,30719.23721,31
23,1,2018,137381.092558,31
24,1,2018,314630.952721,31
25,1,2018,2966938.035408,31
26,1,2018,1679357.901672,31
27,1,2018,600621.137916,31
28,1,2018,25078.549685,28
29,1,2018,97610.952726,31
30,1,2018,1004946.216929,31
31,1,2018,129620.326659,31
32,1,2018,14466.34398,29
33,1,2018,156359.433374,31
34,1,2018,511210.981136,31
35,1,2018,139927.837507,31
36,1,2018,43888.084551,31
37,1,2018,949306.813449,31
38,1,2018,29285.084401,27
39,1,2018,187528.723,31
40,1,2018,1075055.499082,31
41,1,2018,1573697.0469830001,31
42,1,2018,723119.0578600001,31
43,1,2018,2408995.657345,31
44,1,2018,1028647.390441,31
45,1,2018,21424.745915,30
46,1,2018,58714.760316,31
47,1,2018,76976.792474,31
49,1,2018,59790.460439,31
50,1,2018,72611.099228,31
51,1,2018,14371.199999999999,25
52,1,2018,2860.565278,7
54,1,2018,92045.126455,31
55,1,2018,3721.163935,13
56,1,2018,860.500001,4
58,1,2018,120.552632,1
59,1,2018,1910.508064,7
60,1,2018,1132.6082099999999,5
62,1,2018,187.652174,1
64,1,2018,3675.170702,15
65,1,2018,1204.028226,3
66,1,2018,263.935484,1
67,1,2018,848.080745,4
68,1,2018,7131.125532,24
69,1,2018,390177.756245,31
70,1,2018,17549.351356,25
71,1,2018,101438.879799,31
72,1,2018,12346.178652,30
73,1,2018,1289500.40157,31
74,1,2018,1515.870922,10
75,1,2018,18941.809559,30
76,1,2018,20040.166822,29
78,1,2018,29674.807249,30
79,1,2018,212826.006048,31
80,1,2018,15776.918757,29
81,1,2018,394084.364875,31
82,1,2018,32957.591852,31
83,1,2018,28862.18406,31
84,1,2018,27014.249601,30
85,1,2018,249627.649527,31
86,1,2018,104073.458204,31
87,1,2018,21606.648844,30
88,1,2018,2845.616989,14
89,1,2018,3415.630369,18
90,1,2018,3752333.582169,31
91,1,2018,5541.2432929999995,17
92,1,2018,109036.785322,31
93,1,2018,3146.976783,16
94,1,2018,35493.742406,31
95,1,2018,55666.696176,31
96,1,2018,28571.985698,29
97,1,2018,637086.208754,31
1,2,2018,17508308.772024002,28
2,2,2018,765879.830484,28
3,2,2018,5467237.282518,28
4,2,2018,177557.904392,28
5,2,2018,1711251.493001,28
6,2,2018,292317.409433,28
7,2,2018,2122869.92526,28
8,2,2018,2447742.929948,28
9,2,2018,153440.124594,28
10,2,2018,79493.121924,28
11,2,2018,31582.632334,28
12,2,2018,765252.411139,28
13,2,2018,111450.182555,28
14,2,2018,235607.062716,28
15,2,2018,92454.445752,28
16,2,2018,221735.409385,28
17,2,2018,157135.435144,28
18,2,2018,276830.417221,28
19,2,2018,169297.364724,28
20,2,2018,1076782.552878,28
21,2,2018,23566.166567,27
22,2,2018,32693.470357,28
23,2,2018,124959.93385,28
24,2,2018,370167.3432,28
25,2,2018,3578687.310174,28
