siteid,UNIT_NAME,Category,month,year,userdays,daysinmonth,UNIT_CODE,ForestName,MultiPart,NVUM_year,old_siteid,RSL_TYPE,notes,POI
NAT_001,Great Smoky Mountains National Park,NPS,9,2018,1598557.92578,30,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,11,2018,1777328.681474,30,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,1,2018,665068.701656,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,3,2018,1242892.21101,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,6,2019,2055069.688967,30,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,2,2019,879645.942807,28,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,12,2019,1690201.038964,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,4,2018,904662.146596,30,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,11,2019,1842986.824231,30,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,10,2018,2012173.545353,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,8,2018,1383419.779364,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,3,2019,1760218.017129,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,9,2019,1348547.368408,30,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,5,2019,1460288.652591,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,7,2019,2407243.967885,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,6,2018,1378604.261239,30,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,7,2018,1568935.206147,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,12,2018,1726899.159511,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,1,2019,963591.462809,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,10,2019,2077011.704526,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,5,2018,990832.714101,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,4,2019,1593131.110163,30,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,8,2019,1668874.474616,31,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_001,Great Smoky Mountains National Park,NPS,2,2018,765879.830484,28,GRSM,NA,NA,NA,NA,NA,NA,2
NAT_002,Lincoln Memorial,NPS,12,2019,124868.583311,31,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,1,2019,131581.043892,31,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,8,2018,321439.038578,31,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,5,2019,334830.22987,31,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,4,2018,285482.968821,30,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,1,2018,148511.528522,31,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,11,2018,228528.002887,30,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,6,2018,311967.524118,30,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,6,2019,320586.195512,30,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,8,2019,222723.088471,31,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,10,2018,336305.695521,31,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,5,2018,317988.019698,31,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,7,2018,375168.926863,31,LINC,NA,NA,NA,NA,NA,NA,4
NAT_002,Lincoln Memorial,NPS,2,2019,143598.260515,28,LINC,NA,NA,NA,NA,NA,NA,4
