year,month,siteid,UNIT_NAME,pud,tud,aud,eud,d2p
2018,Jan,NAT_001,Great Smoky Mountains National Park,28,178,164,54,2018-01-15
2018,Jan,NAT_002,Lincoln Memorial,21,220,0,1,2018-01-15
2018,Jan,NAT_003,Grand Canyon National Park,35,271,119,52,2018-01-15
2018,Jan,NAT_004,World War II Memorial,5,11,0,1,2018-01-15
2018,Jan,NAT_005,Rocky Mountain National Park,4,177,215,41,2018-01-15
2018,Jan,NAT_006,Vietnam Veterans Memorial,2,6,0,0,2018-01-15
2018,Jan,NAT_007,Independence National Historical Park,11,81,0,2,2018-01-15
2018,Jan,NAT_008,Zion National Park,21,170,164,91,2018-01-15
2018,Jan,NAT_009,Yosemite National Park,54,533,166,19,2018-01-15
2018,Jan,NAT_010,Castle Clinton National Monument,2,1,0,0,2018-01-15
2018,Jan,NAT_011,Statue Of Liberty National Monument,6,274,0,5,2018-01-15
2018,Jan,NAT_012,Yellowstone National Park,39,212,11,45,2018-01-15
2018,Jan,NAT_013,San Francisco Maritime National Historical Park,8,24,0,15,2018-01-15
2018,Jan,NAT_014,Korean War Veterans Memorial,2,4,0,0,2018-01-15
2018,Jan,NAT_015,"Martin Luther King, Jr., Memorial",1,15,0,1,2018-01-15
2018,Jan,NAT_016,Acadia National Park,2,12,14,100,2018-01-15
2018,Jan,NAT_017,Grand Teton National Park,1,80,14,8,2018-01-15
2018,Jan,NAT_018,Chattahoochee River National Recreation Area,5,27,55,99,2018-01-15
2018,Jan,NAT_019,Delaware Water Gap National Recreation Area,6,110,48,45,2018-01-15
2018,Jan,NAT_020,Colonial National Historical Park,4,13,0,72,2018-01-15
2018,Jan,NAT_021,Franklin Delano Roosevelt Memorial,2,17,1,28,2018-01-15
2018,Jan,NAT_022,Olympic National Park,7,70,49,23,2018-01-15
2018,Jan,NAT_023,Boston National Historical Park,1,24,0,0,2018-01-15
2018,Jan,NAT_024,Thomas Jefferson Memorial,4,46,0,0,2018-01-15
2018,Jan,NAT_025,Glacier National Park,4,52,15,9,2018-01-15
2018,Jan,NAT_026,Joshua Tree National Park,47,411,157,79,2018-01-15
2018,Jan,NAT_027,Cape Hatteras National Seashore,2,30,1,225,2018-01-15
2018,Jan,NAT_028,Bryce Canyon National Park,9,51,54,7,2018-01-15
2018,Jan,NAT_029,Rock Creek Park,4,8,5,27,2018-01-15
2018,Jan,NAT_030,Assateague Island National Seashore,9,18,0,256,2018-01-15
2018,Jan,NAT_031,Valley Forge National Historical Park,2,53,7,44,2018-01-15
2018,Jan,NAT_032,Cuyahoga Valley National Park,20,98,50,181,2018-01-15
2018,Jan,NAT_033,Indiana Dunes National Park,3,28,2,73,2018-01-15
2018,Jan,NAT_034,Gateway Arch National Park,8,100,2,0,2018-01-15
2018,Jan,NAT_035,Mount Rushmore National Memorial,2,18,0,0,2018-01-15
2018,Jan,NAT_036,Canaveral National Seashore,2,12,0,296,2018-01-15
2018,Jan,NAT_037,Arches National Park,12,82,64,4,2018-01-15
2018,Jan,NAT_038,Sleeping Bear Dunes National Lakeshore,4,7,3,58,2018-01-15
2018,Jan,NAT_039,Custer National Forest,0,9,1,2,2018-01-15
2018,Jan,NAT_040,Gallatin National Forest,2,28,11,18,2018-01-15
2018,Jan,NAT_041,Helena National Forest,1,16,0,8,2018-01-15
