AFOREST_CODE,year,month,month_sv,month_nfv,month_nf_var,siteid,UNIT_NAME
A01003,2021,10,84614,65766,575661770,NAT_068,Bitterroot National Forest
A01003,2021,11,64003,51968,475474243,NAT_068,Bitterroot National Forest
A01003,2021,12,24477,21169,123301107,NAT_068,Bitterroot National Forest
A01003,2022,1,30416,26649,131445836,NAT_068,Bitterroot National Forest
A01003,2022,2,27144,23799,117756899,NAT_068,Bitterroot National Forest
A01003,2022,3,29959,26407,123307831,NAT_068,Bitterroot National Forest
A01003,2022,4,38370,31590,285855706,NAT_068,Bitterroot National Forest
A01003,2022,5,64244,51001,485543687,NAT_068,Bitterroot National Forest
A01003,2022,6,84029,65956,549711814,NAT_068,Bitterroot National Forest
A01003,2022,7,99063,77026,610133427,NAT_068,Bitterroot National Forest
A01003,2022,8,98451,76126,615415631,NAT_068,Bitterroot National Forest
A01003,2022,9,86311,66799,597731590,NAT_068,Bitterroot National Forest
A01004,2018,10,170775,147012,2535068640,NAT_069,Idaho Panhandle National Forests
A01004,2018,11,96037,84230,1254429634,NAT_069,Idaho Panhandle National Forests
A01004,2018,12,76941,67307,775014707,NAT_069,Idaho Panhandle National Forests
A01004,2019,1,73365,63996,734236451,NAT_069,Idaho Panhandle National Forests
A01004,2019,2,65360,57027,636494955,NAT_069,Idaho Panhandle National Forests
A01004,2019,3,72789,63845,690158454,NAT_069,Idaho Panhandle National Forests
A01004,2019,4,69632,61247,810168542,NAT_069,Idaho Panhandle National Forests
A01004,2019,5,127448,104096,1528833709,NAT_069,Idaho Panhandle National Forests
A01004,2019,6,266471,210869,3260220849,NAT_069,Idaho Panhandle National Forests
A01004,2019,7,399708,317010,4946859449,NAT_069,Idaho Panhandle National Forests
A01004,2019,8,402910,320048,5015075900,NAT_069,Idaho Panhandle National Forests
A01004,2019,9,241851,198318,3289984840,NAT_069,Idaho Panhandle National Forests
A01008,2017,10,16533,10680,25129447,NAT_039,Custer National Forest
A01008,2017,11,15217,11247,18743477,NAT_039,Custer National Forest
A01008,2017,12,22292,21179,3607316,NAT_039,Custer National Forest
A01008,2018,1,21560,20754,2764606,NAT_039,Custer National Forest
A01008,2018,2,19559,18812,2707801,NAT_039,Custer National Forest
A01008,2018,3,21521,20736,2740788,NAT_039,Custer National Forest
A01008,2018,4,15407,13236,9294083,NAT_039,Custer National Forest
A01008,2018,5,20841,13217,25607848,NAT_039,Custer National Forest
A01008,2018,6,87438,57507,118855390,NAT_039,Custer National Forest
A01008,2018,7,130198,87434,154208861,NAT_039,Custer National Forest
A01008,2018,8,115296,76453,142074212,NAT_039,Custer National Forest
A01008,2018,9,59120,39018,80916921,NAT_039,Custer National Forest
A01011,2018,10,120758,87170,2414919224,NAT_040,Gallatin National Forest
A01011,2018,11,107814,77232,2108362069,NAT_040,Gallatin National Forest
A01011,2018,12,143442,118392,1010133295,NAT_040,Gallatin National Forest
A01011,2019,1,197891,161933,1266879823,NAT_040,Gallatin National Forest
A01011,2019,2,180105,147718,1239523932,NAT_040,Gallatin National Forest
A01011,2019,3,183007,151852,1330375145,NAT_040,Gallatin National Forest
A01011,2019,4,39272,29389,820295028,NAT_040,Gallatin National Forest
A01011,2019,5,118830,82346,1843244505,NAT_040,Gallatin National Forest
A01011,2019,6,269350,179558,3352068766,NAT_040,Gallatin National Forest
A01011,2019,7,377181,252259,4250259218,NAT_040,Gallatin National Forest
A01011,2019,8,379169,253632,4295136785,NAT_040,Gallatin National Forest
A01011,2019,9,275354,186609,3645989690,NAT_040,Gallatin National Forest
A01012,2017,10,47287,38535,220321176,NAT_041,Helena National Forest
A01012,2017,11,51127,41684,244612099,NAT_041,Helena National Forest
A01012,2017,12,15366,12704,79595400,NAT_041,Helena National Forest
A01012,2018,1,13185,10888,67038400,NAT_041,Helena National Forest
A01012,2018,2,13377,11043,65719500,NAT_041,Helena National Forest
A01012,2018,3,13916,11569,70310215,NAT_041,Helena National Forest
A01012,2018,4,13774,11541,71232363,NAT_041,Helena National Forest
A01012,2018,5,24947,20581,113882232,NAT_041,Helena National Forest
A01012,2018,6,44434,36541,193075166,NAT_041,Helena National Forest
A01012,2018,7,49887,41068,220566063,NAT_041,Helena National Forest
A01012,2018,8,49061,40301,214921104,NAT_041,Helena National Forest
A01012,2018,9,52595,43070,234082692,NAT_041,Helena National Forest
A01014,2021,10,96503,61242,607198044,NAT_072,Kootenai National Forest
A01014,2021,11,81560,51910,522911596,NAT_072,Kootenai National Forest
A01014,2021,12,18758,12119,114053297,NAT_072,Kootenai National Forest
A01014,2022,1,21686,14278,128578855,NAT_072,Kootenai National Forest
A01014,2022,2,19223,12641,114600209,NAT_072,Kootenai National Forest
A01014,2022,3,22728,14828,137048908,NAT_072,Kootenai National Forest
A01014,2022,4,33007,20851,176239568,NAT_072,Kootenai National Forest
A01014,2022,5,72146,44987,377564460,NAT_072,Kootenai National Forest
A01014,2022,6,136667,86498,698342472,NAT_072,Kootenai National Forest
A01014,2022,7,178646,113738,846218346,NAT_072,Kootenai National Forest
A01014,2022,8,172938,109730,822073655,NAT_072,Kootenai National Forest
A01014,2022,9,124578,77924,688093016,NAT_072,Kootenai National Forest
A01015,2021,10,31271,16938,76950049,NAT_044,Lewis and Clark National Forest
A01015,2021,11,36789,19840,102452135,NAT_044,Lewis and Clark National Forest
A01015,2021,12,17194,12400,19469795,NAT_044,Lewis and Clark National Forest
A01015,2022,1,23653,17786,18762012,NAT_044,Lewis and Clark National Forest
A01015,2022,2,20961,15872,15265014,NAT_044,Lewis and Clark National Forest
A01015,2022,3,21478,16321,15517059,NAT_044,Lewis and Clark National Forest
A01015,2022,4,16199,11869,13836450,NAT_044,Lewis and Clark National Forest
A01015,2022,5,13914,7774,26252488,NAT_044,Lewis and Clark National Forest
A01015,2022,6,32111,17314,73614624,NAT_044,Lewis and Clark National Forest
A01015,2022,7,44635,23961,92611139,NAT_044,Lewis and Clark National Forest
A01015,2022,8,37744,20273,70482355,NAT_044,Lewis and Clark National Forest
A01015,2022,9,30872,16632,68513692,NAT_044,Lewis and Clark National Forest
A01018,2017,10,17619,11659,53563357,NAT_067,Dakota Prairie Grasslands
A01018,2017,11,17987,12143,56980458,NAT_067,Dakota Prairie Grasslands
A01018,2017,12,5739,3695,14822960,NAT_067,Dakota Prairie Grasslands
A01018,2018,1,4231,2695,9987176,NAT_067,Dakota Prairie Grasslands
A01018,2018,2,3977,2529,9389322,NAT_067,Dakota Prairie Grasslands
A01018,2018,3,4466,2846,10503998,NAT_067,Dakota Prairie Grasslands
A01018,2018,4,8580,5690,25426946,NAT_067,Dakota Prairie Grasslands
A01018,2018,5,14768,9735,43545818,NAT_067,Dakota Prairie Grasslands
A01018,2018,6,15651,10389,47529393,NAT_067,Dakota Prairie Grasslands
A01018,2018,7,16533,10960,50100348,NAT_067,Dakota Prairie Grasslands
A01018,2018,8,15749,10377,46918355,NAT_067,Dakota Prairie Grasslands
A01018,2018,9,15716,10376,47083425,NAT_067,Dakota Prairie Grasslands
A02002,2017,10,62187,38767,237761590,NAT_057,Bighorn National Forest
A02002,2017,11,24758,15710,103714155,NAT_057,Bighorn National Forest
A02002,2017,12,23714,15538,76477886,NAT_057,Bighorn National Forest
A02002,2018,1,24157,15685,77712859,NAT_057,Bighorn National Forest
A02002,2018,2,21429,13812,70401056,NAT_057,Bighorn National Forest
A02002,2018,3,20447,13261,67322515,NAT_057,Bighorn National Forest
A02002,2018,4,13263,7977,40383770,NAT_057,Bighorn National Forest
A02002,2018,5,29178,16810,94271490,NAT_057,Bighorn National Forest
A02002,2018,6,71387,40749,224524630,NAT_057,Bighorn National Forest
A02002,2018,7,106091,62954,322321094,NAT_057,Bighorn National Forest
A02002,2018,8,93891,54245,286308667,NAT_057,Bighorn National Forest
A02002,2018,9,70634,40653,236891459,NAT_057,Bighorn National Forest
A02003,2018,10,52487,33276,266434291,NAT_056,Black Hills National Forest
A02003,2018,11,41822,27877,243331014,NAT_056,Black Hills National Forest
A02003,2018,12,14580,10296,93643390,NAT_056,Black Hills National Forest
A02003,2019,1,10750,7590,69808136,NAT_056,Black Hills National Forest
A02003,2019,2,10360,7299,63966485,NAT_056,Black Hills National Forest
A02003,2019,3,9890,7126,71052253,NAT_056,Black Hills National Forest
A02003,2019,4,16623,11233,107168314,NAT_056,Black Hills National Forest
A02003,2019,5,102434,57820,377613707,NAT_056,Black Hills National Forest
A02003,2019,6,218489,118672,669591625,NAT_056,Black Hills National Forest
A02003,2019,7,239857,130595,743291827,NAT_056,Black Hills National Forest
A02003,2019,8,233950,127123,723720054,NAT_056,Black Hills National Forest
A02003,2019,9,119293,71771,502381389,NAT_056,Black Hills National Forest
A02004,2018,10,188843,121550,4417448614,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02004,2018,11,100309,67921,2197038590,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02004,2018,12,163616,140726,1065473541,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02004,2019,1,279606,245003,1480663331,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02004,2019,2,253970,222212,1367000721,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02004,2019,3,280826,244775,1565135157,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02004,2019,4,81812,72915,406336885,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02004,2019,5,66071,42520,1345677139,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02004,2019,6,310882,205319,5096914900,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02004,2019,7,518453,346369,7591096747,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02004,2019,8,530092,354021,7808866260,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02004,2019,9,405749,277593,6260171826,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
A02006,2017,10,71027,52979,570623313,NAT_045,Medicine Bow National Forest
A02006,2017,11,9435,7706,38330766,NAT_045,Medicine Bow National Forest
A02006,2017,12,21876,17864,137683846,NAT_045,Medicine Bow National Forest
A02006,2018,1,30644,25974,154784877,NAT_045,Medicine Bow National Forest
A02006,2018,2,28300,23907,147123915,NAT_045,Medicine Bow National Forest
A02006,2018,3,35084,29092,171944997,NAT_045,Medicine Bow National Forest
A02006,2018,4,12223,9685,51771706,NAT_045,Medicine Bow National Forest
A02006,2018,5,26463,19049,174067846,NAT_045,Medicine Bow National Forest
A02006,2018,6,75767,54995,535520562,NAT_045,Medicine Bow National Forest
A02006,2018,7,119712,85883,852443099,NAT_045,Medicine Bow National Forest
A02006,2018,8,126418,90425,836257352,NAT_045,Medicine Bow National Forest
A02006,2018,9,101280,73716,727108824,NAT_045,Medicine Bow National Forest
A02007,2017,10,21751,15722,230469205,NAT_054,Nebraska National Forest
A02007,2017,11,19535,13793,269066164,NAT_054,Nebraska National Forest
A02007,2017,12,7892,5994,91839510,NAT_054,Nebraska National Forest
A02007,2018,1,5117,3901,61896505,NAT_054,Nebraska National Forest
A02007,2018,2,4932,3606,55363944,NAT_054,Nebraska National Forest
A02007,2018,3,5677,4158,63902822,NAT_054,Nebraska National Forest
A02007,2018,4,18888,12541,255273894,NAT_054,Nebraska National Forest
A02007,2018,5,37927,23666,509224525,NAT_054,Nebraska National Forest
A02007,2018,6,41750,26606,539788304,NAT_054,Nebraska National Forest
