siteid,Year,Month,visitors,d2p,old_siteid,RefugeName,Notes,FY,Counter Total
NAT_139,2018,Jan,10212.319,2018-01-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2018,Feb,13986.895,2018-02-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2018,Mar,19026.462,2018-03-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2018,Apr,17661.286999999997,2018-04-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2018,May,17029.987999999998,2018-05-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2018,Jun,17562.921,2018-06-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2018,Jul,19632.829,2018-07-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2018,Aug,16427.032,2018-08-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2018,Sep,11800.283,2018-09-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2018,Oct,15281.918999999998,2018-10-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2018,Nov,12543.159,2018-11-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2018,Dec,NA,2018-12-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,Jan,11517.077,2019-01-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,Feb,12544.727,2019-02-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,Mar,19176.569,2019-03-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,Apr,17897.844999999998,2019-04-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,May,18248.692,2019-05-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,Jun,17049.678,2019-06-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,Jul,18094.996,2019-07-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,Aug,15079.774,2019-08-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,Sep,12201.512,2019-09-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,Oct,14240.713999999998,2019-10-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,Nov,14220.239,2019-11-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2019,Dec,11625.051,2019-12-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,Jan,13935.119,2020-01-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,Feb,14122.017,2020-02-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,Mar,21139.964,2020-03-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,Apr,23092.326999999997,2020-04-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,May,27677.718999999997,2020-05-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,Jun,22502.331,2020-06-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,Jul,22249.67,2020-07-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,Aug,19487.139,2020-08-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,Sep,18636.311,2020-09-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,Oct,19873.027,2020-10-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,Nov,17440.419,2020-11-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2020,Dec,18170.334,2020-12-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,Jan,14638.265,2021-01-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,Feb,7068.465999999999,2021-02-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,Mar,20956.657999999996,2021-03-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,Apr,22676.762,2021-04-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,May,20209.521,2021-05-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,Jun,17558.175,2021-06-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,Jul,18702.35,2021-07-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,Aug,17129.589999999997,2021-08-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,Sep,16322.958999999995,2021-09-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,Oct,16094.567,2021-10-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,Nov,14581.873,2021-11-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2021,Dec,15120.554,2021-12-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,Jan,13956.53,2022-01-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,Feb,15868.316,2022-02-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,Mar,19436.601,2022-03-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,Apr,20579.017,2022-04-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,May,19440.27,2022-05-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,Jun,17821.226,2022-06-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,Jul,18009.813,2022-07-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,Aug,16948.008,2022-08-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,Sep,14982.716,2022-09-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,Oct,17027.362,2022-10-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,Nov,13839.848000000002,2022-11-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_139,2022,Dec,11738.845999999998,2022-12-15,FWS_304,Pinckney,Car traffic only (no boats),NA,NA
NAT_143,2018,Oct,37861.64,2018-10-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2018,Nov,49541.11,2018-11-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2018,Dec,30043.67,2018-12-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2019,Jan,29940.83,2019-01-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2019,Feb,46298.13,2019-02-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2019,Mar,97176.6,2019-03-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2019,Apr,97413.58,2019-04-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2019,May,66414.14,2019-05-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2019,Jun,39223.31,2019-06-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2019,Jul,35114.24,2019-07-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2019,Aug,25691.71,2019-08-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2019,Sep,21963.51,2019-09-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2019,NA
NAT_143,2019,Oct,39235.8,2019-10-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2019,Nov,53424.02,2019-11-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2019,Dec,49805.26,2019-12-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2020,Jan,40767.48,2020-01-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2020,Feb,40320.06,2020-02-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2020,Mar,57860.9,2020-03-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2020,Apr,26653.66,2020-04-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2020,May,48723.32,2020-05-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2020,Jun,36345.12,2020-06-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2020,Jul,37646.86,2020-07-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2020,Aug,37388.5,2020-08-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2020,Sep,42728.5,2020-09-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2020,NA
NAT_143,2018,Jan,21301.445,2018-01-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2018,NA
NAT_143,2018,Feb,41060.86,2018-02-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2018,NA
NAT_143,2018,Mar,74373.99,2018-03-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2018,NA
NAT_143,2018,Apr,174127.0475,2018-04-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2018,NA
NAT_143,2018,May,51466.815,2018-05-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2018,NA
NAT_143,2018,Jun,38401.22,2018-06-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2018,NA
NAT_143,2018,Jul,36354.1,2018-07-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2018,NA
NAT_143,2018,Aug,36106.1,2018-08-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2018,NA
NAT_143,2018,Sep,36541.35,2018-09-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2018,NA
NAT_143,2020,Oct,45075.88,2020-10-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2021,NA
NAT_143,2020,Nov,41427.13,2020-11-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2021,NA
NAT_143,2020,Dec,42358.98,2020-12-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2021,NA
NAT_143,2021,Jan,50258.96,2021-01-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2021,NA
NAT_143,2021,Feb,48902.64,2021-02-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2021,NA
NAT_143,2021,Mar,88079.81,2021-03-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2021,NA
NAT_143,2021,Apr,78893.12,2021-04-15,FWS_373,Okefenokee,"visitor totals from okefenokee staff, not trafx directly",2021,NA
