siteid,year,month,visits,month_nf_var,notes,"FLAG  (0=nf, 1=f, 2=unsure, 3=nodata)",UNIT_NAME,d2p
NAT_001,2018,1,320864,NA,NA,0,Great Smoky Mountains National Park,2018-01-15
NAT_001,2018,2,399156,NA,NA,0,Great Smoky Mountains National Park,2018-02-15
NAT_001,2018,3,689235,NA,NA,0,Great Smoky Mountains National Park,2018-03-15
NAT_001,2018,4,820657,NA,NA,0,Great Smoky Mountains National Park,2018-04-15
NAT_001,2018,5,985145,NA,NA,0,Great Smoky Mountains National Park,2018-05-15
NAT_001,2018,6,1401741,NA,NA,0,Great Smoky Mountains National Park,2018-06-15
NAT_001,2018,7,1468273,NA,NA,0,Great Smoky Mountains National Park,2018-07-15
NAT_001,2018,8,1195360,NA,NA,0,Great Smoky Mountains National Park,2018-08-15
NAT_001,2018,9,1369637,NA,NA,0,Great Smoky Mountains National Park,2018-09-15
NAT_001,2018,10,1263665,NA,NA,0,Great Smoky Mountains National Park,2018-10-15
NAT_001,2018,11,867110,NA,NA,0,Great Smoky Mountains National Park,2018-11-15
NAT_001,2018,12,640357,NA,NA,0,Great Smoky Mountains National Park,2018-12-15
NAT_001,2019,1,496743,NA,NA,0,Great Smoky Mountains National Park,2019-01-15
NAT_001,2019,2,421770,NA,NA,0,Great Smoky Mountains National Park,2019-02-15
NAT_001,2019,3,786305,NA,NA,0,Great Smoky Mountains National Park,2019-03-15
NAT_001,2019,4,999259,NA,NA,0,Great Smoky Mountains National Park,2019-04-15
NAT_001,2019,5,1096056,NA,NA,0,Great Smoky Mountains National Park,2019-05-15
NAT_001,2019,6,1469857,NA,NA,0,Great Smoky Mountains National Park,2019-06-15
NAT_001,2019,7,1613133,NA,NA,0,Great Smoky Mountains National Park,2019-07-15
NAT_001,2019,8,1411231,NA,NA,0,Great Smoky Mountains National Park,2019-08-15
NAT_001,2019,9,1273326,NA,NA,0,Great Smoky Mountains National Park,2019-09-15
NAT_001,2019,10,1408013,NA,NA,0,Great Smoky Mountains National Park,2019-10-15
NAT_001,2019,11,851419,NA,NA,0,Great Smoky Mountains National Park,2019-11-15
NAT_001,2019,12,720631,NA,NA,0,Great Smoky Mountains National Park,2019-12-15
NAT_002,2018,1,348843,NA,1/20-22/2018 Government shutdown. No Park Rangers on duty.,2,Lincoln Memorial,2018-01-15
NAT_002,2018,2,339680,NA,NA,0,Lincoln Memorial,2018-02-15
NAT_002,2018,3,709568,NA,"03/02/18 - Government closed in DC per OPM due to inclement weather, so no Park Rangers on duty.

03/21/18 - Government closed in DC per OPM due to inclement weather, so no Park Rangers on duty.",2,Lincoln Memorial,2018-03-15
NAT_002,2018,4,829771,NA,NA,0,Lincoln Memorial,2018-04-15
NAT_002,2018,5,974517,NA,NA,0,Lincoln Memorial,2018-05-15
NAT_002,2018,6,808245,NA,NA,0,Lincoln Memorial,2018-06-15
NAT_002,2018,7,897312,NA,NA,0,Lincoln Memorial,2018-07-15
NAT_002,2018,8,818901,NA,NA,0,Lincoln Memorial,2018-08-15
NAT_002,2018,9,599616,NA,NA,0,Lincoln Memorial,2018-09-15
NAT_002,2018,10,618752,NA,NA,0,Lincoln Memorial,2018-10-15
NAT_002,2018,11,463211,NA,NA,0,Lincoln Memorial,2018-11-15
NAT_002,2018,12,396267,NA,"12/22/2018 - 12/31/2018  Partial government shutdown. No rangers on duty, but memorials were open to visitors.",2,Lincoln Memorial,2018-12-15
NAT_002,2019,1,262421,NA,"1/1/2019-1/26/2019 Partial government shutdown. No rangers on duty, but memorials remained open.",2,Lincoln Memorial,2019-01-15
NAT_002,2019,2,317312,NA,"2/20/2019 Federal government closed due to inclement weather, but memorials remained open.",2,Lincoln Memorial,2019-02-15
NAT_002,2019,3,632384,NA,NA,0,Lincoln Memorial,2019-03-15
NAT_002,2019,4,949707,NA,NA,0,Lincoln Memorial,2019-04-15
NAT_002,2019,5,919307,NA,NA,0,Lincoln Memorial,2019-05-15
NAT_002,2019,6,835584,NA,NA,0,Lincoln Memorial,2019-06-15
NAT_002,2019,7,849280,NA,NA,0,Lincoln Memorial,2019-07-15
NAT_002,2019,8,765163,NA,NA,0,Lincoln Memorial,2019-08-15
NAT_002,2019,9,583200,NA,NA,0,Lincoln Memorial,2019-09-15
