siteid,month,tmean_celsius
NAT_001,1/1/18,-1.0300903
NAT_001,2/1/18,7.762726
NAT_001,3/1/18,5.1400757
NAT_001,4/1/18,9.048096
NAT_001,5/1/18,17.76477
NAT_001,6/1/18,20.446594
NAT_001,7/1/18,21.154816
NAT_001,8/1/18,20.299438
NAT_001,9/1/18,19.940247
NAT_001,10/1/18,13.649048
NAT_001,11/1/18,5.3143616
NAT_001,12/1/18,3.604126
NAT_001,1/1/19,1.9582825
NAT_001,2/1/19,6.3600464
NAT_001,3/1/19,6.044983
NAT_001,4/1/19,12.6828
NAT_001,5/1/19,17.998291
NAT_001,6/1/19,19.271027
NAT_001,7/1/19,21.364777
NAT_001,8/1/19,21.402039
NAT_001,9/1/19,21.425964
NAT_001,10/1/19,14.961853
NAT_001,11/1/19,5.5960693
NAT_001,12/1/19,5.231964
NAT_001,1/1/20,4.1576233
NAT_001,2/1/20,4.080353
NAT_001,3/1/20,10.128204
NAT_001,4/1/20,9.991638
NAT_001,5/1/20,13.778839
NAT_001,6/1/20,18.926575
NAT_001,7/1/20,21.945099
NAT_001,8/1/20,20.730286
NAT_001,9/1/20,17.716736
NAT_001,10/1/20,13.906799
NAT_001,11/1/20,9.00946
NAT_001,12/1/20,2.0321655
NAT_001,1/1/21,1.9049377
NAT_001,2/1/21,2.9031067
NAT_001,3/1/21,8.824646
NAT_001,4/1/21,10.376587
NAT_001,5/1/21,14.78421
NAT_001,6/1/21,19.343536
NAT_001,7/1/21,20.974182
NAT_001,8/1/21,20.937439
NAT_001,9/1/21,17.677032
NAT_001,10/1/21,13.889862
NAT_001,11/1/21,5.850586
NAT_001,12/1/21,8.061371
NAT_001,1/1/22,0.09237671
NAT_001,2/1/22,4.18161
NAT_001,3/1/22,7.904663
NAT_001,4/1/22,10.845551
NAT_001,5/1/22,16.857697
NAT_001,6/1/22,20.336273
NAT_001,7/1/22,21.987183
NAT_001,8/1/22,20.33197
NAT_001,9/1/22,17.03775
NAT_001,10/1/22,10.624786
NAT_001,11/1/22,7.671509
NAT_001,12/1/22,3.346466
NAT_002,1/1/18,0.22290039
NAT_002,2/1/18,6.181549
NAT_002,3/1/18,4.3780518
NAT_002,4/1/18,10.982666
NAT_002,5/1/18,20.937317
NAT_002,6/1/18,22.632385
NAT_002,7/1/18,25.298767
NAT_002,8/1/18,25.091278
NAT_002,9/1/18,22.522766
NAT_002,10/1/18,15.425415
NAT_002,11/1/18,6.889984
NAT_002,12/1/18,4.4346313
NAT_002,1/1/19,1.3981323
NAT_002,2/1/19,3.6802063
NAT_002,3/1/19,6.2900085
NAT_002,4/1/19,14.66983
NAT_002,5/1/19,20.246582
NAT_002,6/1/19,23.741608
NAT_002,7/1/19,27.013855
NAT_002,8/1/19,25.373016
NAT_002,9/1/19,23.630798
NAT_002,10/1/19,16.834045
NAT_002,11/1/19,6.671936
NAT_002,12/1/19,4.3886414
NAT_002,1/1/20,4.63385
NAT_002,2/1/20,5.469574
NAT_002,3/1/20,10.174042
NAT_002,4/1/20,11.424713
NAT_002,5/1/20,16.003021
NAT_002,6/1/20,23.587189
NAT_002,7/1/20,27.80127
NAT_002,8/1/20,24.77774
NAT_002,9/1/20,20.182922
NAT_002,10/1/20,15.586914
NAT_002,11/1/20,11.101715
NAT_002,12/1/20,4.031494
NAT_002,1/1/21,2.018158
NAT_002,2/1/21,1.5136414
NAT_002,3/1/21,8.86795
NAT_002,4/1/21,13.059662
NAT_002,5/1/21,17.6922
NAT_002,6/1/21,23.577759
NAT_002,7/1/21,26.2406
NAT_002,8/1/21,25.672424
NAT_002,9/1/21,21.86618
NAT_002,10/1/21,17.995148
NAT_002,11/1/21,7.768158
NAT_002,12/1/21,7.1564026
NAT_002,1/1/22,0.30422974
NAT_002,2/1/22,4.3733215
NAT_002,3/1/22,8.87738
NAT_002,4/1/22,12.252197
NAT_002,5/1/22,18.586884
NAT_002,6/1/22,23.42099
NAT_002,7/1/22,26.039032
NAT_002,8/1/22,25.050049
NAT_002,9/1/22,20.984467
NAT_002,10/1/22,13.124481
NAT_002,11/1/22,9.881683
NAT_002,12/1/22,3.0248108
NAT_003,1/1/18,5.751648
NAT_003,2/1/18,5.02005
NAT_003,3/1/18,7.818329
NAT_003,4/1/18,15.947174
NAT_003,5/1/18,19.874695
NAT_003,6/1/18,26.352814
NAT_003,7/1/18,27.389465
NAT_003,8/1/18,26.48767
NAT_003,9/1/18,24.039185
NAT_003,10/1/18,12.505402
NAT_003,11/1/18,7.6056824
NAT_003,12/1/18,2.9036865
NAT_003,1/1/19,1.1565552
NAT_003,2/1/19,-0.48214722
NAT_003,3/1/19,7.2178345
NAT_003,4/1/19,14.03891
NAT_003,5/1/19,14.019196
NAT_003,6/1/19,23.938751
NAT_003,7/1/19,27.64505
NAT_003,8/1/19,27.612427
NAT_003,9/1/19,22.410736
NAT_003,10/1/19,13.675201
NAT_003,11/1/19,8.912109
NAT_003,12/1/19,1.0842896
NAT_003,1/1/20,2.6352234
NAT_003,2/1/20,5.0812683
NAT_003,3/1/20,7.6839905
NAT_003,4/1/20,13.8284
NAT_003,5/1/20,21.375824
NAT_003,6/1/20,25.03833
NAT_003,7/1/20,28.423462
NAT_003,8/1/20,29.173584
NAT_003,9/1/20,24.199066
NAT_003,10/1/20,18.369873
NAT_003,11/1/20,8.945496
NAT_003,12/1/20,3.0799255
NAT_003,1/1/21,2.5681458
NAT_003,2/1/21,4.770294
NAT_003,3/1/21,6.8348083
NAT_003,4/1/21,15.11203
NAT_003,5/1/21,20.194061
NAT_003,6/1/21,27.424255
NAT_003,7/1/21,27.11444
NAT_003,8/1/21,26.330688
NAT_003,9/1/21,23.216003
NAT_003,10/1/21,13.071991
NAT_003,11/1/21,11.458679
NAT_003,12/1/21,4.1733704
